premiseID,capacitykW,installDate,manufacturer,model,azimuth,tilt,rateClass,dateInstalled,premiseRateCode,maxAC,efficiency
12921,6.1,1/11/2018 0:00,SolarEdge,SE6000-A-US-U,248,21,E100,1/11/2018,E130,6,97.5
13249,6,7/8/2013 0:00,SMA,SB5000US,180,26,E100,7/8/2013,E130,5,95.5
13438,6.49,9/18/2017 0:00,Delta,Solivia 5.2 TL,126,18,E100,9/18/2017,E130,5.2,97.5
13441,2.9,4/8/2014 0:00,Enphase,M250 (11),180,19,E100,4/8/2014,E130,2.75,96.5
13530,5.8,6/22/2018 0:00,Delta,Solivia 5.2 TL,79,26,E100,6/22/2018,E140,5.2,97.5
13588,11.05,11/1/2018 0:00,SolarEdge,SE7600A-US;SE3800H-US,240,25,E100,11/1/2018,E125,8.35,97.5
13596,4.25,5/28/2015 0:00,ABB Power One,PVI-3.0,180,19,E100,5/28/2015,E140,3.3,96
13624,6.2,10/19/2012 0:00,SMA,SB6000US,180,19,E100,10/19/2012,E140,6,95.5
13655,7,5/7/2015 0:00,Enphase,(25) M250,172,20,E100,5/7/2015,E140,6.25,96.5
13656,4,4/30/2015 0:00,ABB Power One,PVI-3.0,90,30,E100,4/30/2015,E140,3.3,96
13751,5.57,10/23/2015 0:00,SolarEdge,SE5000A,248,37,E100,10/23/2015,E140,5.4,97.5
13825,3,2/19/2014 0:00,Power One,PVI-3.0,181,40,E100,2/19/2014,E140,3.3,96
13876,3.66,1/19/2018 0:00,SolarEdge,SE3800A-US-U,180,27,E100,1/19/2018,E140,4.15,98
13910,7.25,3/11/2019 0:00,Delta,Solivia 5.2TL and 3.8TL,221,30,E100,3/11/2019,E140,9,97.5
13930,5.52,5/4/2018 0:00,Sunpower,SPR-X21-345-D-AC,250,23,E100,5/4/2018,E140,,
13960,6.79,1/9/2018 0:00,Enphase,IQ6Plus-72-2-US,180,26,E100,1/9/2018,E140,,
13976,3.1,6/22/2011 0:00,SMA,SB4000US,180,20,E100,6/22/2011,E140,4,96.5
14064,5.3,10/1/2012 0:00,Power One,PVI-5000,80,20,E100,10/1/2012,E140,5,96.4
14109,3.6,10/29/2018 0:00,Enpahse,IQ7-60-2-INT,190,22,E100,10/29/2018,E100,,
14153,6,4/19/2014 0:00,Power One,PVI-5000,125,26,E100,4/19/2014,E140,5,96.4
14174,5.9,11/21/2017 0:00,SolarEdge,SE5000H-US,198,20,E100,11/21/2017,E140,5.4,97.5
14198,7.4,2/11/2009 0:00,SunPower,SPR-7000m,180,14,E100,2/11/2009,E130,7,96
14200,3.5,3/8/2014 0:00,Power One,PVI-3.0,180,18,E100,3/8/2014,E130,3.3,96
14211,3.84,4/20/2017 0:00,SolarEdge,SE3800A-US-U,193,32,E100,4/20/2017,E140,4.15,98
14373,3,3/30/2011 0:00,SMA,SB3000US,150,30,E100,3/30/2011,E140,3,96.5
14375,6.83,6/14/2018 0:00,Delta,Solivia 7.6 TL,138,27,E100,6/14/2018,E140,7.6,97.5
14460,8.5,7/2/2015 0:00,ABB Power One (2),PVI-3.0 (2),180,28,E100,7/2/2015,E140,6.6,96
14475,3.2,10/20/2010 0:00,Fronius,IG 3.0-1UNI,220,23,E100,10/20/2010,E140,3,96.2
14580,5.04,10/19/2018 0:00,SolarEdge,SE7600A-US,270,23,E100,10/19/2018,E125,8.35,97.5
14585,3.38,2/21/2017 0:00,SolarEdge,SE3000,260,27,E100,2/21/2017,E140,3.3,97.5
14640,2.6,8/25/2016 0:00,SolarEdge,SE3000A-US,185,27,E100,8/25/2016,E140,3.3,97.5
14675,2,6/23/2008 0:00,Fronius,IG2000,180,19,E100,6/23/2008,E140,2,95.2
14767,4.9,4/8/2014 0:00,Power One,PVI 3.6,180,18,E100,4/8/2014,E130,4,96
14778,3.27,3/31/2015 0:00,Sunny Boy,SB 3000TL,195,23,E100,3/31/2015,E140,3,96.5
14792,6.1,7/13/2011 0:00,SMA SunnyBoy,SMA 6000US,195,19,E100,7/13/2011,E140,6,95.5
14823,4.58,8/22/2018 0:00,Delta,Solivia 5.2 TL,176,26,E100,8/22/2018,E140,5.2,97.5
14825,3.38,8/23/2016 0:00,SolarEdge,SE3000A,145,23,E100,8/23/2016,E140,3.3,97.5
14864,10,5/20/2015 0:00,Enphase,(48) M190/M250,140,23,E200,5/20/2015,E224,,
14871,2.7,4/5/2018 0:00,ABB,PVI-3.6 OUTD-S-US-Z-A,187,26,E100,4/5/2018,E140,4,96
14873,2.4,6/13/2018 0:00,ABB,UNO-DM-3.3-TL-PLUS-US-SZ-RA,163,27,E100,6/13/2018,E140,3.3,96.5
14911,6.24,5/25/2016 0:00,SolarEdge,SE6000A-US,157,25,E100,5/25/2016,E140,6,97.5
14913,6.09,2/23/2016 0:00,SolarEdge,SE5000A-US,93,21,E100,2/23/2016,E140,5.4,97.5
14995,3.9,5/23/2018 0:00,Delta,Solivia 3.8 TL,90,26,E100,5/23/2018,E140,3.8,97.5
14996,4.59,6/16/2015 0:00,ABB Power One,PVI-3.6,180,20,E100,6/16/2015,E130,4,96
15008,3.3,5/31/2007 0:00,SMA,SB 3300u,180,19,E100,5/31/2007,E130,3.6,94.4
15017,4.68,8/4/2017 0:00,Delta,Solivia 3.8 TL,90,28,E100,8/4/2017,E140,3.8,97.5
15020,7.32,10/3/2018 0:00,SolarEdge,StorEdge SE7600A-USS2,135,27,E100,10/3/2018,E140,8.35,97.5
15077,5.8,4/8/2015 0:00,Sunny Boy,SB6000,180,27,E100,4/8/2015,E130,6,95.5
